,Chart,Region,Date,Chart URL,Attempt,Error
0,Top200,us,2017-05-30,https://spotifycharts.com/regional/us/daily/2017-05-30,1,HTTP Error 404: Not Found
1,Top200,us,2017-05-30,https://spotifycharts.com/regional/us/daily/2017-05-30,2,HTTP Error 404: Not Found
2,Top200,us,2017-05-30,https://spotifycharts.com/regional/us/daily/2017-05-30,3,HTTP Error 404: Not Found
3,Top200,us,2017-05-30,https://spotifycharts.com/regional/us/daily/2017-05-30,-1,None
4,Top200,us,2017-05-31,https://spotifycharts.com/regional/us/daily/2017-05-31,1,HTTP Error 404: Not Found
5,Top200,us,2017-05-31,https://spotifycharts.com/regional/us/daily/2017-05-31,2,HTTP Error 404: Not Found
6,Top200,us,2017-05-31,https://spotifycharts.com/regional/us/daily/2017-05-31,3,HTTP Error 404: Not Found
7,Top200,us,2017-05-31,https://spotifycharts.com/regional/us/daily/2017-05-31,-1,None
8,Top200,us,2017-06-02,https://spotifycharts.com/regional/us/daily/2017-06-02,1,HTTP Error 404: Not Found
9,Top200,us,2017-06-02,https://spotifycharts.com/regional/us/daily/2017-06-02,2,HTTP Error 404: Not Found
10,Top200,us,2017-06-02,https://spotifycharts.com/regional/us/daily/2017-06-02,3,HTTP Error 404: Not Found
11,Top200,us,2017-06-02,https://spotifycharts.com/regional/us/daily/2017-06-02,-1,None
12,Top200,us,2018-05-28,https://spotifycharts.com/regional/us/daily/2018-05-28,1,IncompleteRead(519718 bytes read)
13,Top200,us,2018-06-23,https://spotifycharts.com/regional/us/daily/2018-06-23,1,IncompleteRead(519917 bytes read)
